LF,cost,nLabels,Time,MSE,Badpix
boxes,Variance,30,83.8408,11.1577,0.392155
boxes,Variance,60,114.515,10.7966,0.363738
boxes,Variance,90,147.006,10.7666,0.359804
boxes,CAE,30,183.171,11.9237,0.438827
boxes,CAE,60,316.167,10.9637,0.414279
boxes,CAE,90,447.99,10.8536,0.411516
boxes,OAVC,30,81.2808,27.0604,0.51544
boxes,OAVC,60,116.808,24.5407,0.477945
boxes,OAVC,90,142.754,23.8026,0.469921
cotton,Variance,30,79.9422,5.96071,0.193919
cotton,Variance,60,111.971,5.82151,0.174803
cotton,Variance,90,144.348,5.78227,0.169182
cotton,CAE,30,175.614,3.79806,0.227372
cotton,CAE,60,304.11,3.73627,0.210667
cotton,CAE,90,423.38,3.69468,0.208011
cotton,OAVC,30,76.4502,12.0462,0.335303
cotton,OAVC,60,110.055,11.4065,0.301777
cotton,OAVC,90,143.08,11.3165,0.298187
dino,Variance,30,82.321,1.5668,0.154745
dino,Variance,60,117.2,1.4638,0.116006
dino,Variance,90,148.416,1.44837,0.110931
dino,CAE,30,181.399,1.16503,0.191427
dino,CAE,60,312.11,1.02052,0.155102
dino,CAE,90,442.959,0.994573,0.152115
dino,OAVC,30,81.8016,4.51242,0.317247
dino,OAVC,60,113.723,3.69989,0.273833
dino,OAVC,90,144.395,3.42985,0.262065
sideboard,Variance,30,82.1077,5.02731,0.254928
sideboard,Variance,60,115.565,4.88301,0.225013
sideboard,Variance,90,148.321,4.84478,0.220012
sideboard,CAE,30,185.567,25.5407,0.3838
sideboard,CAE,60,322.741,24.7389,0.354548
sideboard,CAE,90,458.636,24.7215,0.349964
sideboard,OAVC,30,89.2102,12.0818,0.494344
sideboard,OAVC,60,125.908,9.99527,0.452816
sideboard,OAVC,90,157.761,9.34022,0.438052
LF,cost,nIters,nTemps,T0,alpha,sigma,OcclusionAware,Time,MSE,Badpix
boxes,Variance,2,6,1,0.8,0.02,42.696,10.0176,0.315344
boxes,CAE,2,6,1,0.8,0.02,167.283,7.99386,0.336879
boxes,OAVC,2,6,1,0.8,0.02,50.6424,9.46378,0.398418
cotton,Variance,2,6,1,0.8,0.02,41.5919,5.61488,0.130477
cotton,CAE,2,6,1,0.8,0.02,163.173,2.68521,0.139598
cotton,OAVC,2,6,1,0.8,0.02,50.8139,2.24418,0.226834
dino,Variance,2,6,1,0.8,0.02,42.1455,1.40438,0.0928574
dino,CAE,2,6,1,0.8,0.02,165.175,0.697753,0.103115
dino,OAVC,2,6,1,0.8,0.02,50.1802,1.01337,0.220149
sideboard,Variance,2,6,1,0.8,0.02,42.0634,4.44416,0.19561
sideboard,CAE,2,6,1,0.8,0.02,168.196,3.15155,0.268418
sideboard,OAVC,2,6,1,0.8,0.02,53.1555,2.7584,0.358452
